# tijd (s), versnelling (m/s^2)
9.030100334448161181e-01,2.270844757681356236e-06
9.230769230769231282e-01,3.392226438971412832e-06
9.431438127090301382e-01,5.067357362601665383e-06
9.632107023411371483e-01,7.569674390685453984e-06
9.832775919732441583e-01,1.130762305063481766e-05
1.003344481605351168e+00,1.689130261783899887e-05
1.023411371237458178e+00,2.523199104099748939e-05
1.043478260869565188e+00,3.769074838969332941e-05
1.063545150501672198e+00,5.630024987285952475e-05
1.083612040133779209e+00,8.409582122455438341e-05
1.103678929765886219e+00,1.256091803092575926e-04
1.123745819397993451e+00,1.876042908347408270e-04
1.143812709030100461e+00,2.801727902498014422e-04
1.163879598662207471e+00,4.183618883019164141e-04
1.183946488294314481e+00,6.245873058322208918e-04
1.204013377926421491e+00,9.321959125533007488e-04
1.224080267558528501e+00,1.390694934090185020e-03
1.244147157190635511e+00,2.073358750066289866e-03
1.264214046822742521e+00,3.088142677113013112e-03
1.284280936454849531e+00,4.593007507442302233e-03
1.304347826086956541e+00,6.816706064809486404e-03
1.324414715719063551e+00,1.008538709006346658e-02
1.344481605351170561e+00,1.485320014863336126e-02
1.364548494983277571e+00,2.173002780601343206e-02
1.384615384615384581e+00,3.148978502083003839e-02
1.404682274247491591e+00,4.502805325392391506e-02
1.424749163879598601e+00,6.322411423734543290e-02
1.444816053511705611e+00,8.666982059983151243e-02
1.464882943143812843e+00,1.152900935012757672e-01
1.484949832775919853e+00,1.480086545190838487e-01
1.505016722408026864e+00,1.827217813684836878e-01
1.525083612040133874e+00,2.167525772397342898e-01
1.545150501672240884e+00,2.476255500091402995e-01
1.565217391304347894e+00,2.737249003711856865e-01
1.585284280936454904e+00,2.945039962939317579e-01
1.605351170568561914e+00,3.102712129901819549e-01
1.625418060200668924e+00,3.218046120584306946e-01
1.645484949832775934e+00,3.300166878384706015e-01
1.665551839464882944e+00,3.357523149816478147e-01
1.685618729096989954e+00,3.397045944110345106e-01
1.705685618729096964e+00,3.424027505755158907e-01
1.725752508361203974e+00,3.442330385373776336e-01
1.745819397993310984e+00,3.454692500591990401e-01
1.765886287625418216e+00,3.463017729102961795e-01
1.785953177257525226e+00,3.468613293021109434e-01
1.806020066889632236e+00,3.472369212337363398e-01
1.826086956521739246e+00,3.474888062888196183e-01
1.846153846153846256e+00,3.476576284588074328e-01
1.866220735785953266e+00,3.477707337447478730e-01
1.886287625418060276e+00,3.478464902576449691e-01
1.906354515050167286e+00,3.478972219226602047e-01
1.926421404682274297e+00,3.479311911810546443e-01
1.946488294314381307e+00,3.479539347213217448e-01
1.966555183946488317e+00,3.479691614522001375e-01
1.986622073578595327e+00,3.479793553343980550e-01
2.006688963210702337e+00,3.479861796964832110e-01
2.026755852842809347e+00,3.479907482371104033e-01
2.046822742474916357e+00,3.479938065944071512e-01
2.066889632107023367e+00,3.479958539619037450e-01
2.086956521739130377e+00,3.479972245320920310e-01
2.107023411371237387e+00,3.479981420305602313e-01
2.127090301003344397e+00,3.479987562286631086e-01
2.147157190635451407e+00,3.479991673887616876e-01
2.167224080267558417e+00,3.479994426296998955e-01
2.187290969899665427e+00,3.479996268828043915e-01
2.207357859531772437e+00,3.479997502263445508e-01
2.227424749163879447e+00,3.479998327955066695e-01
2.247491638795986901e+00,3.479998880692988239e-01
2.267558528428093911e+00,3.479999250709058800e-01
2.287625418060200921e+00,3.479999498406702862e-01
2.307692307692307931e+00,3.479999664221444244e-01
2.327759197324414941e+00,3.479999775221804259e-01
2.347826086956521952e+00,3.479999849528100930e-01
2.367892976588628962e+00,3.479999899270513897e-01
2.387959866220735972e+00,3.479999932569273757e-01
2.408026755852842982e+00,3.479999954860260591e-01
2.428093645484949992e+00,3.479999969782379132e-01
2.448160535117057002e+00,3.479999979771602470e-01
2.468227424749164012e+00,3.479999986458627292e-01
2.488294314381271022e+00,3.479999990935080945e-01
2.508361204013378032e+00,3.479999993931726654e-01
2.528428093645485042e+00,3.479999995937752555e-01
2.548494983277592052e+00,3.479999997280634472e-01
2.568561872909699062e+00,3.479999998179591492e-01
2.588628762541806072e+00,3.479999998781375115e-01
2.608695652173913082e+00,3.479999999184223425e-01
2.628762541806020092e+00,3.479999999453899373e-01
2.648829431438127102e+00,3.479999999634427188e-01
2.668896321070234112e+00,3.479999999755277185e-01
2.688963210702341122e+00,3.479999999836176361e-01
2.709030100334448132e+00,3.479999999890331930e-01
2.729096989966555142e+00,3.479999999926585708e-01
2.749163879598662152e+00,3.479999999950854628e-01
2.769230769230769162e+00,3.479999999967100521e-01
2.789297658862876172e+00,3.479999999977976821e-01
2.809364548494983183e+00,3.479999999985256554e-01
2.829431438127090193e+00,3.479999999990130433e-01
2.849498327759197203e+00,3.479999999993392823e-01
2.869565217391304213e+00,3.479999999995577187e-01
2.889632107023411223e+00,3.479999999997039350e-01
2.909698996655518677e+00,3.479999999998018012e-01
2.929765886287625687e+00,3.479999999998673044e-01
2.949832775919732697e+00,3.479999999999111582e-01
2.969899665551839707e+00,3.479999999999405236e-01
2.989966555183946717e+00,3.479999999999601745e-01
3.010033444816053727e+00,3.479870738587074186e-01
3.030100334448160737e+00,3.479806910027137823e-01
3.050167224080267747e+00,3.479711565895114433e-01
3.070234113712374757e+00,3.479569148485086028e-01
3.090301003344481767e+00,3.479356423968417156e-01
3.110367892976588777e+00,3.479038699894501097e-01
3.130434782608695787e+00,3.478564184821456573e-01
3.150501672240802797e+00,3.477855584923086329e-01
3.170568561872909807e+00,3.476797600526848053e-01
3.190635451505016817e+00,3.475218358820560405e-01
3.210702341137123828e+00,3.472861923623738467e-01
3.230769230769230838e+00,3.469347775781614907e-01
3.250836120401337848e+00,3.464111492160487082e-01
3.270903010033444858e+00,3.456318793069599327e-01
3.290969899665551868e+00,3.444742975941493812e-01
3.311036789297658878e+00,3.427594477916857119e-01
3.331103678929765888e+00,3.402293354210069731e-01
3.351170568561872898e+00,3.365186148067997873e-01
3.371237458193979908e+00,3.311238104460297316e-01
3.391304347826086918e+00,3.233795848617720958e-01
3.411371237458193928e+00,3.124630443057249685e-01
3.431438127090300938e+00,2.974626174639697918e-01
3.451505016722407948e+00,2.775578434747756340e-01
3.471571906354514958e+00,2.523346254969063285e-01
3.491638795986621968e+00,2.221740814902935512e-01
3.511705685618728978e+00,1.885146868078404203e-01
3.531772575250836432e+00,1.537246289954490586e-01
3.551839464882943442e+00,1.205038584705337285e-01
3.571906354515050452e+00,9.109595165334506695e-02
3.591973244147157462e+00,6.675877032864559191e-02
3.612040133779264472e+00,4.771587809195397545e-02
3.632107023411371483e+00,3.345872628150177441e-02
3.652173913043478493e+00,2.313332889910421977e-02
3.672240802675585503e+00,1.583395551088806474e-02
3.692307692307692513e+00,1.076149365350249042e-02
3.712374581939799523e+00,7.278405826036837833e-03
3.732441471571906533e+00,4.906260603327306478e-03
3.752508361204013543e+00,3.299746925444074341e-03
3.772575250836120553e+00,2.215875177735277847e-03
3.792642140468227563e+00,1.486488749022287989e-03
3.812709030100334573e+00,9.964982077773352261e-04
3.832775919732441583e+00,6.677117721964406652e-04
3.852842809364548593e+00,4.472659081685374642e-04
3.872909698996655603e+00,2.995377521357751589e-04
3.892976588628762613e+00,2.005748007593330764e-04
3.913043478260869623e+00,1.342951522015358671e-04
3.933110367892976633e+00,8.991185421172164806e-05
3.953177257525083643e+00,6.019428497585277080e-05
3.973244147157190653e+00,4.029779703371549334e-05
3.993311036789297663e+00,2.697734100201909160e-05
4.013377926421404673e+00,1.805973953752615212e-05
4.033444816053512127e+00,1.208982861594298653e-05
4.053511705685618693e+00,8.093313126301682271e-06
4.073578595317726148e+00,5.417898860888836494e-06
4.093645484949832714e+00,3.626889631892726701e-06
4.113712374581940168e+00,2.427934954055022024e-06
4.133779264214046734e+00,1.625321425691383899e-06
4.153846153846154188e+00,1.088030681496210341e-06
4.173913043478260754e+00,7.283544909790772996e-07
4.193979933110368208e+00,4.875782386497550993e-07
4.214046822742474774e+00,3.263966754780689093e-07
4.234113712374582228e+00,2.184978020041139317e-07
4.254180602006688794e+00,1.462676803203333292e-07
4.274247491638796248e+00,9.791509407208742436e-08
4.294314381270902814e+00,6.554670988645482788e-08
4.314381270903010268e+00,4.387853665877016994e-08
4.334448160535116834e+00,2.937334221386755817e-08
4.354515050167224288e+00,1.966321774538037615e-08
4.374581939799330854e+00,1.316302808684888126e-08
4.394648829431438308e+00,8.811645667794464977e-09
4.414715719063544874e+00,5.898726228137362468e-09
4.434782608695652328e+00,3.948748313664651812e-09
4.454849498327758894e+00,2.643386497691579651e-09
4.474916387959866348e+00,1.769546088992157672e-09
4.494983277591973803e+00,1.184576438939544032e-09
4.515050167224080369e+00,7.929837773090752481e-10
4.535117056856187823e+00,5.308423007832629140e-10
4.555183946488294389e+00,3.553585186111262957e-10
4.575250836120401843e+00,2.378854819795605817e-10
4.595317725752508409e+00,1.592462341992728534e-10
4.615384615384615863e+00,1.066032322416532327e-10
4.635451505016722429e+00,7.136276236607841332e-11
4.655518394648829883e+00,4.777194040350707367e-11
4.675585284280936449e+00,3.197966957912967633e-11
4.695652173913043903e+00,2.140795940519524198e-11
4.715719063545150469e+00,1.433100837999745551e-11
4.735785953177257923e+00,9.593510652550207476e-12
4.755852842809364489e+00,6.422132825534276114e-12
4.775919732441471943e+00,4.299136380225831986e-12
4.795986622073578509e+00,2.877939220269354188e-12
4.816053511705685963e+00,1.926552917197454665e-12
4.836120401337792529e+00,1.289681028637801191e-12
4.856187290969899983e+00,8.633547210479263708e-13
4.876254180602006549e+00,5.779523526427965375e-13
4.896321070234114003e+00,3.868985132271518350e-13
4.916387959866220569e+00,2.589948255860008160e-13
4.936454849498328024e+00,1.733779786405875560e-13
4.956521739130434590e+00,1.160618268158941452e-13
4.976588628762542044e+00,7.769651588773740231e-14
4.996655518394648610e+00,5.200373465186202788e-14
5.016722408026756064e+00,3.481082089251685850e-14
5.036789297658862630e+00,2.331668191857260955e-14
5.056856187290970084e+00,1.560884754780999912e-14
5.076923076923076650e+00,1.045097342000644862e-14
5.096989966555184104e+00,6.993072787508935177e-15
5.117056856187290670e+00,4.674927112091608826e-15
5.137123745819398124e+00,3.129496661813391127e-15
5.157190635451505578e+00,2.105648988504071620e-15
5.177257525083612144e+00,1.410205285878873833e-15
5.197324414715719598e+00,9.465761507954084443e-16
5.217391304347826164e+00,6.181721801112871191e-16
5.237458193979933618e+00,4.249933738265099067e-16
5.257525083612040184e+00,2.897682094271658432e-16
5.277591973244147638e+00,1.931788062847772124e-16
5.297658862876254204e+00,1.159072837708663472e-16
5.317725752508361658e+00,7.727152251391088989e-17
5.337792642140468224e+00,5.795364188543317358e-17
5.357859531772575679e+00,3.863576125695544494e-17
5.377926421404682245e+00,1.931788062847772247e-17
5.397993311036789699e+00,1.931788062847772247e-17
5.418060200668896265e+00,1.931788062847772247e-17
5.438127090301003719e+00,0.000000000000000000e+00
5.458193979933110285e+00,0.000000000000000000e+00
5.478260869565217739e+00,0.000000000000000000e+00
5.498327759197324305e+00,0.000000000000000000e+00
5.518394648829431759e+00,0.000000000000000000e+00
5.538461538461538325e+00,0.000000000000000000e+00
5.558528428093645779e+00,0.000000000000000000e+00
5.578595317725752345e+00,0.000000000000000000e+00
5.598662207357859799e+00,0.000000000000000000e+00
5.618729096989966365e+00,0.000000000000000000e+00
5.638795986622073819e+00,0.000000000000000000e+00
5.658862876254180385e+00,0.000000000000000000e+00
5.678929765886287839e+00,0.000000000000000000e+00
5.698996655518394405e+00,0.000000000000000000e+00
5.719063545150501859e+00,0.000000000000000000e+00
5.739130434782608425e+00,0.000000000000000000e+00
5.759197324414715879e+00,0.000000000000000000e+00
5.779264214046822445e+00,0.000000000000000000e+00
5.799331103678929900e+00,0.000000000000000000e+00
5.819397993311037354e+00,0.000000000000000000e+00
5.839464882943143920e+00,0.000000000000000000e+00
5.859531772575251374e+00,0.000000000000000000e+00
5.879598662207357940e+00,0.000000000000000000e+00
5.899665551839465394e+00,0.000000000000000000e+00
5.919732441471571960e+00,0.000000000000000000e+00
5.939799331103679414e+00,0.000000000000000000e+00
5.959866220735785980e+00,0.000000000000000000e+00
5.979933110367893434e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
